OpenJPA 2,3,0 openjpa land;;;;;OpenJPA 2,4,1 openjpa land;;;;;diff;Diff (%)
org,apache,openjpa,jdbc,sql,AbstractResult,load(org,apache,openjpa,jdbc,meta,ClassMapping,org,apache,openjpa,jdbc,kernel,JDBCStore,org,apache,openjpa,jdbc,kernel,JDBCFetchConfiguration,org,apache,openjpa,jdbc,sql,Joins);10;3168792;;;org,apache,openjpa,persistence,criteria,Expressions,returnCopy(java,util,Set);10;15407;;0;-3153385;-20467,2226909846
org,apache,openjpa,kernel,VersionLockManager,lock(org,apache,openjpa,kernel,OpenJPAStateManager,int,int,java,lang,Object);10;8692;;;org,apache,openjpa,kernel,VersionLockManager,lock(org,apache,openjpa,kernel,OpenJPAStateManager,int,int,java,lang,Object);10;8296;;0;-396;-4,7733847637
org,apache,openjpa,kernel,ROPStoreManager,initialize(org,apache,openjpa,kernel,OpenJPAStateManager,org,apache,openjpa,kernel,PCState,org,apache,openjpa,kernel,FetchConfiguration,java,lang,Object);10;1637926;;;org,apache,openjpa,kernel,ROPStoreManager,initialize(org,apache,openjpa,kernel,OpenJPAStateManager,org,apache,openjpa,kernel,PCState,org,apache,openjpa,kernel,FetchConfiguration,java,lang,Object);10;1359012;;0;-278914;-20,5232919209
org,apache,openjpa,kernel,StateManagerImpl,replaceField(org,apache,openjpa,enhance,PersistenceCapable,org,apache,openjpa,enhance,FieldManager,int);10;22915;;;org,apache,openjpa,kernel,StateManagerImpl,replaceField(org,apache,openjpa,enhance,PersistenceCapable,org,apache,openjpa,enhance,FieldManager,int);10;20150;;0;-2765;-13,7220843672
org,apache,openjpa,kernel,FillStrategy$Assign,fill(java,lang,Object[],java,lang,Class[],java,lang,String[]);10;1580;;;org,apache,openjpa,kernel,FillStrategy$Assign,fill(java,lang,Object[],java,lang,Class[],java,lang,String[]);10;790;;0;-790;-100
org,test,MainEntity,pcCopyKeyFieldsFromObjectId(java,lang,Object);10;8297;;;org,test,MainEntity,pcCopyKeyFieldsFromObjectId(java,lang,Object);10;7903;;0;-394;-4,9854485638
org,apache,openjpa,kernel,ResultShape,pack(java,lang,Object[],java,lang,Class[],java,lang,String[]);10;65579;;;org,apache,openjpa,kernel,ResultShape,pack(java,lang,Object[],java,lang,Class[],java,lang,String[]);10;43062;;0;-22517;-52,2897217965
org,apache,openjpa,jdbc,kernel,SelectResultObjectProvider,getFetchConfiguration();10;790;;;org,apache,openjpa,jdbc,kernel,SelectResultObjectProvider,getFetchConfiguration();10;790;;0;0;0
org,apache,openjpa,jdbc,kernel,InstanceResultObjectProvider,getResultObject();10;3235556;;;org,apache,openjpa,jdbc,kernel,InstanceResultObjectProvider,getResultObject();10;2529188;;0;-706368;-27,9286474552
org,apache,openjpa,kernel,StateManagerImpl,load(org,apache,openjpa,kernel,FetchConfiguration,int,java,util,BitSet,java,lang,Object,boolean);10;343307;;;org,apache,openjpa,kernel,StateManagerImpl,load(org,apache,openjpa,kernel,FetchConfiguration,int,java,util,BitSet,java,lang,Object,boolean);10;245729;;0;-97578;-39,7095987857
org,apache,openjpa,lib,jdbc,DelegatingResultSet,getString(int);10;173431;;;org,apache,openjpa,lib,jdbc,DelegatingResultSet,getString(int);10;186468;;0;13037;6,9915481477
